dates,number_of_marriage
2023-10-19,12
2024-03-22,10
2024-02-24,22
2019-05-10,17
2020-10-04,16
2021-02-07,8
2023-01-09,12
2024-05-26,13
2022-01-04,13
2024-01-04,15
2020-05-23,18
2021-06-26,16
2019-09-03,11
2021-11-23,13
2021-07-01,15
2023-08-03,17
2021-02-11,11
2019-10-26,20
2020-01-16,14
2024-08-07,15
2024-09-26,15
2023-06-06,23
2024-03-25,15
2021-06-28,16
2019-11-02,9
2019-09-06,17
2019-11-16,15
2019-06-21,10
2020-01-03,8
2024-06-18,13
2023-02-20,8
2023-08-05,21
2019-05-24,18
2021-09-19,17
2019-10-20,15
2020-09-04,15
2019-05-10,11
2019-01-13,9
2021-04-26,14
2021-05-22,13
2023-12-03,13
2024-12-22,11
2020-12-30,12
2021-01-19,14
2020-07-30,22
2021-08-08,11
2019-03-12,18
2024-12-01,17
2023-05-14,11
2022-09-28,17
2019-03-02,15
2021-08-28,24
2024-03-27,17
2020-07-01,12
2021-03-01,18
2021-06-07,21
2019-01-14,15
2020-07-22,15
2024-11-27,16
2021-02-25,18
2022-11-07,10
2022-07-30,14
2020-03-28,9
2022-06-23,21
2024-01-16,16
2020-09-19,10
2021-08-18,10
2024-12-08,13
2023-06-29,18
2020-05-08,15
2022-08-01,14
2021-07-13,12
2024-05-07,19
2022-05-12,12
2020-04-14,13
2020-08-23,9
2021-10-11,12
2020-04-03,11
2023-03-07,13
2024-08-04,18
2022-08-23,14
2022-01-03,14
2019-02-25,22
2024-03-25,18
2021-06-15,13
2022-07-28,16
2019-07-11,15
2022-06-29,16
2024-11-04,13
2023-01-24,19
2023-02-24,10
2022-07-08,16
2020-07-21,20
2021-05-25,19
2024-02-28,15
2021-09-19,12
2023-06-04,11
2024-04-20,12
2019-01-31,14
2024-12-23,13
2023-01-05,15
2021-10-22,11
2021-11-20,17
2024-04-28,18
2023-12-14,15
2020-11-10,13
2020-03-21,17
2024-03-14,8
2019-12-18,21
2024-08-29,16
2024-08-20,14
2024-02-05,12
2019-01-15,13
2019-01-29,16
2022-04-11,16
2019-06-17,14
2024-04-18,14
2022-07-26,11
2020-06-20,7
2022-01-20,16
